Temperature:  26, Humidity Level:  49, Soil Moisture:  48, CO2 Level:  45, Light Intensity:  57, Pressure: 101, pH level:  59, Pest Level:  15, Leaf health(direct):  89, Leaf health(refined):  96, Fan Status: 0, Irrigation: 0, Humidity Control: 0, Alert: 0
Temperature:  52, Humidity Level:  23, Soil Moisture: 252, CO2 Level: 175, Light Intensity: 235, Pressure: 101, pH level:  33, Pest Level: 145, Leaf health(direct):  90, Leaf health(refined):  91, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  53, Humidity Level:  22, Soil Moisture: 250, CO2 Level: 180, Light Intensity: 232, Pressure: 101, pH level:  32, Pest Level: 150, Leaf health(direct): 100, Leaf health(refined):  95, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  54, Humidity Level:  21, Soil Moisture: 248, CO2 Level: 185, Light Intensity: 229, Pressure: 101, pH level:  31, Pest Level: 155, Leaf health(direct): 100, Leaf health(refined):  92, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  55, Humidity Level:  20, Soil Moisture: 246, CO2 Level: 190, Light Intensity: 226, Pressure: 101, pH level:  30, Pest Level: 160, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  56, Humidity Level:  19, Soil Moisture: 244, CO2 Level: 195, Light Intensity: 223, Pressure: 101, pH level:  29, Pest Level: 165, Leaf health(direct): 100, Leaf health(refined):  93, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  57, Humidity Level:  18, Soil Moisture: 242, CO2 Level: 200, Light Intensity: 220, Pressure: 101, pH level:  28, Pest Level: 170, Leaf health(direct):  73, Leaf health(refined):  90, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  58, Humidity Level:  17, Soil Moisture: 240, CO2 Level: 205, Light Intensity: 217, Pressure: 101, pH level:  27, Pest Level: 175, Leaf health(direct): 100, Leaf health(refined):  94, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  59, Humidity Level:  16, Soil Moisture: 238, CO2 Level: 210, Light Intensity: 214, Pressure: 101, pH level:  26, Pest Level: 180, Leaf health(direct):  89, Leaf health(refined):  91, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  60, Humidity Level:  15, Soil Moisture: 236, CO2 Level: 215, Light Intensity: 211, Pressure: 101, pH level:  25, Pest Level: 185, Leaf health(direct):  34, Leaf health(refined):  95, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  61, Humidity Level:  14, Soil Moisture: 234, CO2 Level: 220, Light Intensity: 208, Pressure: 101, pH level:  24, Pest Level: 190, Leaf health(direct): 100, Leaf health(refined):  92, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  62, Humidity Level:  13, Soil Moisture: 232, CO2 Level: 225, Light Intensity: 205, Pressure: 101, pH level:  23, Pest Level: 195, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  63, Humidity Level:  12, Soil Moisture: 230, CO2 Level: 230, Light Intensity: 202, Pressure: 101, pH level:  22, Pest Level: 200, Leaf health(direct): 100, Leaf health(refined):  93, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  64, Humidity Level:  11, Soil Moisture: 228, CO2 Level: 235, Light Intensity: 199, Pressure: 101, pH level:  21, Pest Level: 205, Leaf health(direct): 100, Leaf health(refined):  90, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  65, Humidity Level:  10, Soil Moisture: 226, CO2 Level: 240, Light Intensity: 196, Pressure: 101, pH level:  20, Pest Level: 210, Leaf health(direct): 100, Leaf health(refined):  94, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  66, Humidity Level:   9, Soil Moisture: 224, CO2 Level: 245, Light Intensity: 193, Pressure: 101, pH level:  19, Pest Level: 215, Leaf health(direct):  38, Leaf health(refined):  91, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  67, Humidity Level:   8, Soil Moisture: 222, CO2 Level: 250, Light Intensity: 190, Pressure: 101, pH level:  18, Pest Level: 220, Leaf health(direct): 100, Leaf health(refined):  95, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  68, Humidity Level:   7, Soil Moisture: 220, CO2 Level: 255, Light Intensity: 187, Pressure: 101, pH level:  17, Pest Level: 225, Leaf health(direct): 100, Leaf health(refined):  92, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  69, Humidity Level:   6, Soil Moisture: 218, CO2 Level:   4, Light Intensity: 184, Pressure: 101, pH level:  16, Pest Level: 230, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  70, Humidity Level:   5, Soil Moisture: 216, CO2 Level:   9, Light Intensity: 181, Pressure: 101, pH level:  15, Pest Level: 235, Leaf health(direct):  74, Leaf health(refined):  93, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  71, Humidity Level:   4, Soil Moisture: 214, CO2 Level:  14, Light Intensity: 178, Pressure: 101, pH level:  14, Pest Level: 240, Leaf health(direct): 100, Leaf health(refined):  90, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  72, Humidity Level:   3, Soil Moisture: 212, CO2 Level:  19, Light Intensity: 175, Pressure: 101, pH level:  13, Pest Level: 245, Leaf health(direct):  23, Leaf health(refined):  94, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  73, Humidity Level:   2, Soil Moisture: 210, CO2 Level:  24, Light Intensity: 172, Pressure: 101, pH level:  12, Pest Level: 250, Leaf health(direct):  19, Leaf health(refined):  78, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  74, Humidity Level:   1, Soil Moisture: 208, CO2 Level:  29, Light Intensity: 169, Pressure: 101, pH level:  11, Pest Level: 255, Leaf health(direct): 100, Leaf health(refined):  62, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  75, Humidity Level:   0, Soil Moisture: 206, CO2 Level:  34, Light Intensity: 166, Pressure: 101, pH level:  10, Pest Level:   4, Leaf health(direct): 100, Leaf health(refined):  78, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  76, Humidity Level: 255, Soil Moisture: 204, CO2 Level:  39, Light Intensity: 163, Pressure: 101, pH level:   9, Pest Level:   9, Leaf health(direct):   5, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  77, Humidity Level: 254, Soil Moisture: 202, CO2 Level:  44, Light Intensity: 160, Pressure: 101, pH level:   8, Pest Level:  14, Leaf health(direct):  73, Leaf health(refined):  80, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  78, Humidity Level: 253, Soil Moisture: 200, CO2 Level:  49, Light Intensity: 157, Pressure: 101, pH level:   7, Pest Level:  19, Leaf health(direct):  71, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  79, Humidity Level: 252, Soil Moisture: 198, CO2 Level:  54, Light Intensity: 154, Pressure: 101, pH level:   6, Pest Level:  24, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  80, Humidity Level: 251, Soil Moisture: 196, CO2 Level:  59, Light Intensity: 151, Pressure: 101, pH level:   5, Pest Level:  29, Leaf health(direct):  97, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  81, Humidity Level: 250, Soil Moisture: 194, CO2 Level:  64, Light Intensity: 148, Pressure: 101, pH level:   4, Pest Level:  34, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  82, Humidity Level: 249, Soil Moisture: 192, CO2 Level:  69, Light Intensity: 145, Pressure: 101, pH level:   3, Pest Level:  39, Leaf health(direct):  72, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  83, Humidity Level: 248, Soil Moisture: 190, CO2 Level:  74, Light Intensity: 142, Pressure: 101, pH level:   2, Pest Level:  44, Leaf health(direct):   5, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  84, Humidity Level: 247, Soil Moisture: 188, CO2 Level:  79, Light Intensity: 139, Pressure: 101, pH level:   1, Pest Level:  49, Leaf health(direct):  34, Leaf health(refined):  80, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  85, Humidity Level: 246, Soil Moisture: 186, CO2 Level:  84, Light Intensity: 136, Pressure: 101, pH level:   0, Pest Level:  54, Leaf health(direct):  49, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  86, Humidity Level: 245, Soil Moisture: 184, CO2 Level:  89, Light Intensity: 133, Pressure: 101, pH level: 255, Pest Level:  59, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  87, Humidity Level: 244, Soil Moisture: 182, CO2 Level:  94, Light Intensity: 130, Pressure: 101, pH level: 254, Pest Level:  64, Leaf health(direct):  69, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  88, Humidity Level: 243, Soil Moisture: 180, CO2 Level:  99, Light Intensity: 127, Pressure: 101, pH level: 253, Pest Level:  69, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  89, Humidity Level: 242, Soil Moisture: 178, CO2 Level: 104, Light Intensity: 124, Pressure: 101, pH level: 252, Pest Level:  74, Leaf health(direct): 100, Leaf health(refined):  90, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  90, Humidity Level: 241, Soil Moisture: 176, CO2 Level: 109, Light Intensity: 121, Pressure: 101, pH level: 251, Pest Level:  79, Leaf health(direct):  19, Leaf health(refined):  94, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  91, Humidity Level: 240, Soil Moisture: 174, CO2 Level: 114, Light Intensity: 118, Pressure: 101, pH level: 250, Pest Level:  84, Leaf health(direct):   1, Leaf health(refined):  78, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  92, Humidity Level: 239, Soil Moisture: 172, CO2 Level: 119, Light Intensity: 115, Pressure: 101, pH level: 249, Pest Level:  89, Leaf health(direct): 100, Leaf health(refined):  62, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  93, Humidity Level: 238, Soil Moisture: 170, CO2 Level: 124, Light Intensity: 112, Pressure: 101, pH level: 248, Pest Level:  94, Leaf health(direct):  51, Leaf health(refined):  78, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  94, Humidity Level: 237, Soil Moisture: 168, CO2 Level: 129, Light Intensity: 109, Pressure: 101, pH level: 247, Pest Level:  99, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  95, Humidity Level: 236, Soil Moisture: 166, CO2 Level: 134, Light Intensity: 106, Pressure: 101, pH level: 246, Pest Level: 104, Leaf health(direct):  93, Leaf health(refined):  93, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  96, Humidity Level: 235, Soil Moisture: 164, CO2 Level: 139, Light Intensity: 103, Pressure: 101, pH level: 245, Pest Level: 109, Leaf health(direct):  27, Leaf health(refined):  90, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  97, Humidity Level: 234, Soil Moisture: 162, CO2 Level: 144, Light Intensity: 100, Pressure: 101, pH level: 244, Pest Level: 114, Leaf health(direct):  52, Leaf health(refined):  74, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  98, Humidity Level: 233, Soil Moisture: 160, CO2 Level: 149, Light Intensity:  97, Pressure: 101, pH level: 243, Pest Level: 119, Leaf health(direct):  64, Leaf health(refined):  92, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature:  99, Humidity Level: 232, Soil Moisture: 158, CO2 Level: 154, Light Intensity:  94, Pressure: 101, pH level: 242, Pest Level: 124, Leaf health(direct):   1, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 100, Humidity Level: 231, Soil Moisture: 156, CO2 Level: 159, Light Intensity:  91, Pressure: 101, pH level: 241, Pest Level: 129, Leaf health(direct):  21, Leaf health(refined):  80, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 101, Humidity Level: 230, Soil Moisture: 154, CO2 Level: 164, Light Intensity:  88, Pressure: 101, pH level: 240, Pest Level: 134, Leaf health(direct):  20, Leaf health(refined):  64, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 102, Humidity Level: 229, Soil Moisture: 152, CO2 Level: 169, Light Intensity:  85, Pressure: 101, pH level: 239, Pest Level: 139, Leaf health(direct):  93, Leaf health(refined):  48, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 103, Humidity Level: 228, Soil Moisture: 150, CO2 Level: 174, Light Intensity:  82, Pressure: 101, pH level: 238, Pest Level: 144, Leaf health(direct): 100, Leaf health(refined):  64, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 104, Humidity Level: 227, Soil Moisture: 148, CO2 Level: 179, Light Intensity:  79, Pressure: 101, pH level: 237, Pest Level: 149, Leaf health(direct): 100, Leaf health(refined):  80, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 105, Humidity Level: 226, Soil Moisture: 146, CO2 Level: 184, Light Intensity:  76, Pressure: 101, pH level: 236, Pest Level: 154, Leaf health(direct): 100, Leaf health(refined):  95, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 106, Humidity Level: 225, Soil Moisture: 144, CO2 Level: 189, Light Intensity:  73, Pressure: 101, pH level: 235, Pest Level: 159, Leaf health(direct): 100, Leaf health(refined):  92, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 107, Humidity Level: 224, Soil Moisture: 142, CO2 Level: 194, Light Intensity:  70, Pressure: 101, pH level: 234, Pest Level: 164, Leaf health(direct):  56, Leaf health(refined):  97, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 108, Humidity Level: 223, Soil Moisture: 140, CO2 Level: 199, Light Intensity:  67, Pressure: 101, pH level: 233, Pest Level: 169, Leaf health(direct): 100, Leaf health(refined):  95, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 109, Humidity Level: 222, Soil Moisture: 138, CO2 Level: 204, Light Intensity:  64, Pressure: 101, pH level: 232, Pest Level: 174, Leaf health(direct): 100, Leaf health(refined):  93, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 110, Humidity Level: 221, Soil Moisture: 136, CO2 Level: 209, Light Intensity:  61, Pressure: 101, pH level: 231, Pest Level: 179, Leaf health(direct): 100, Leaf health(refined):  97, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 111, Humidity Level: 220, Soil Moisture: 134, CO2 Level: 214, Light Intensity:  58, Pressure: 101, pH level: 230, Pest Level: 184, Leaf health(direct): 100, Leaf health(refined):  95, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 112, Humidity Level: 219, Soil Moisture: 132, CO2 Level: 219, Light Intensity:  55, Pressure: 101, pH level: 229, Pest Level: 189, Leaf health(direct):   8, Leaf health(refined):  93, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 113, Humidity Level: 218, Soil Moisture: 130, CO2 Level: 224, Light Intensity:  52, Pressure: 101, pH level: 228, Pest Level: 194, Leaf health(direct):  59, Leaf health(refined):  77, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 114, Humidity Level: 217, Soil Moisture: 128, CO2 Level: 229, Light Intensity:  49, Pressure: 101, pH level: 227, Pest Level: 199, Leaf health(direct): 100, Leaf health(refined):  93, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 115, Humidity Level: 216, Soil Moisture: 126, CO2 Level: 234, Light Intensity:  46, Pressure: 101, pH level: 226, Pest Level: 204, Leaf health(direct):  45, Leaf health(refined):  97, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 116, Humidity Level: 215, Soil Moisture: 124, CO2 Level: 239, Light Intensity:  43, Pressure: 101, pH level: 225, Pest Level: 209, Leaf health(direct): 100, Leaf health(refined):  95, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 117, Humidity Level: 214, Soil Moisture: 122, CO2 Level: 244, Light Intensity:  40, Pressure: 101, pH level: 224, Pest Level: 214, Leaf health(direct):  66, Leaf health(refined):  87, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 118, Humidity Level: 213, Soil Moisture: 120, CO2 Level: 249, Light Intensity:  37, Pressure: 101, pH level: 223, Pest Level: 219, Leaf health(direct):  17, Leaf health(refined):   7, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 119, Humidity Level: 212, Soil Moisture: 118, CO2 Level: 254, Light Intensity:  34, Pressure: 101, pH level: 222, Pest Level: 224, Leaf health(direct): 100, Leaf health(refined):   2, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 120, Humidity Level: 211, Soil Moisture: 116, CO2 Level:   3, Light Intensity:  31, Pressure: 101, pH level: 221, Pest Level: 229, Leaf health(direct):  25, Leaf health(refined):  18, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 121, Humidity Level: 210, Soil Moisture: 114, CO2 Level:   8, Light Intensity:  28, Pressure: 101, pH level: 220, Pest Level: 234, Leaf health(direct):  53, Leaf health(refined):   5, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 122, Humidity Level: 209, Soil Moisture: 112, CO2 Level:  13, Light Intensity:  25, Pressure: 101, pH level: 219, Pest Level: 239, Leaf health(direct):  48, Leaf health(refined):   5, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 123, Humidity Level: 208, Soil Moisture: 110, CO2 Level:  18, Light Intensity:  22, Pressure: 101, pH level: 218, Pest Level: 244, Leaf health(direct): 100, Leaf health(refined):   5, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 124, Humidity Level: 207, Soil Moisture: 108, CO2 Level:  23, Light Intensity:  19, Pressure: 101, pH level: 217, Pest Level: 249, Leaf health(direct):  79, Leaf health(refined):  21, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 125, Humidity Level: 206, Soil Moisture: 106, CO2 Level:  28, Light Intensity:  16, Pressure: 101, pH level: 216, Pest Level: 254, Leaf health(direct): 100, Leaf health(refined):  37, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 126, Humidity Level: 205, Soil Moisture: 104, CO2 Level:  33, Light Intensity:  13, Pressure: 101, pH level: 215, Pest Level:   3, Leaf health(direct):  66, Leaf health(refined):  53, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 127, Humidity Level: 204, Soil Moisture: 102, CO2 Level:  38, Light Intensity:  10, Pressure: 101, pH level: 214, Pest Level:   8, Leaf health(direct):  72, Leaf health(refined):  53, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 128, Humidity Level: 203, Soil Moisture: 100, CO2 Level:  43, Light Intensity:   7, Pressure: 101, pH level: 213, Pest Level:  13, Leaf health(direct): 100, Leaf health(refined):  69, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 129, Humidity Level: 202, Soil Moisture:  98, CO2 Level:  48, Light Intensity:   4, Pressure: 101, pH level: 212, Pest Level:  18, Leaf health(direct):  48, Leaf health(refined):  85, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 130, Humidity Level: 201, Soil Moisture:  96, CO2 Level:  53, Light Intensity:   1, Pressure: 101, pH level: 211, Pest Level:  23, Leaf health(direct):  28, Leaf health(refined):  85, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
